id:integer,name,category,sub_weapon:reference:sub_weapons
1,わかばシューター,シューター,1
2,ボールドマーカー,シューター,4
3,ボールドマーカーネオ,シューター,10
4,ボールドマーカー7,シューター,1
5,もみじシューター,シューター,7
6,おちばシューター,シューター,13
7,シャープマーカー,シューター,7
8,シャープマーカーネオ,シューター,3
9,プロモデラーMG,シューター,2
10,プロモデラーRG,シューター,11
11,プロモデラーPG,シューター,3
12,スプラシューター,シューター,3
13,スプラシューターコラボ,シューター,1
14,スプラシューターベッチュー,シューター,2
15,.52ガロン,シューター,8
16,.52ガロンデコ,シューター,4
17,.52ガロンベッチュー,シューター,9
18,N-ZAP85,シューター,2
19,N-ZAP89,シューター,5
20,N-ZAP83,シューター,11
21,プライムシューター,シューター,8
22,プライムシューターコラボ,シューター,2
23,プライムシューターベッチュー,シューター,1
24,.96ガロン,シューター,11
25,.96ガロンデコ,シューター,9
26,ジェットスイーパー,シューター,7
27,ジャットスイーパーカスタム,シューター,3
28,ホットブラスター,ブラスター,7
29,ホットブラスターカスタム,ブラスター,5
30,ノヴァブラスター,ブラスター,1
31,ノヴァブラスターネオ,ブラスター,6
32,ノヴァブラスターベッチュー,ブラスター,12
33,ロングブラスター,ブラスター,2
34,ロングブラスターカスタム,ブラスター,4
35,ロングブラスターネクロ,ブラスター,3
36,クラッシュブラスター,ブラスター,1
37,クラッシュブラスターネオ,ブラスター,4
38,ラピッドブラスター,ブラスター,6
39,ラピッドブラスターデコ,ブラスター,2
40,ラピッドブラスターベッチュー,ブラスター,13
41,Rブラスターエリート,ブラスター,7
42,Rブラスターエリートデコ,ブラスター,9
43,L3リールガン,リールガン,4
44,L3リールガンD,リールガン,3
45,L3リールガンベッチュー,リールガン,9
46,H3リールガン,リールガン,8
47,H3リールガンD,リールガン,2
48,H3リールガンチェリー,リールガン,9
49,ボトルガイザー,ボトルガイザー,9
50,ボトルガイザーフォイル,ボトルガイザー,1
51,スプラローラー,ローラー,4
52,スプラローラーコラボ,ローラー,10
53,スプラローラーベッチュー,ローラー,1
54,カーボンローラー,ローラー,5
55,カーボンローラーデコ,ローラー,3
56,ヴァリアブルローラー,ローラー,9
57,ヴァリアブルローラーフォイル,ローラー,2
58,ダイナモローラー,ローラー,6
59,ダイナモローラーテスラ,ローラー,1
60,ダイナモローラーベッチュー,ローラー,11
61,パブロ,フデ,1
62,パブロ・ヒュー,フデ,6
63,パーマネント・パブロ,フデ,11
64,ホクサイ,フデ,5
65,ホクサイ・ヒュー,フデ,10
66,ホクサイベッチュー,フデ,2
67,スプラチャージャー,チャージャー,1
68,スプラスコープ,チャージャー,1
69,スプラチャージャーコラボ,チャージャー,9
70,スプラスコープコラボ,チャージャー,9
71,スプラチャージャーベッチュー,チャージャー,11
72,スプラスコープベッチュー,チャージャー,11
73,リッター4K,チャージャー,6
74,4Kスコープ,チャージャー,6
75,リッター4Kカスタム,チャージャー,10
76,4Kスコープカスタム,チャージャー,10
77,ソイチューバー,チャージャー,2
78,ソイチューバーカスタム,チャージャー,4
79,スクイックリンα,チャージャー,8
80,スクイックリンβ,チャージャー,5
81,スクイックリンγ,チャージャー,2
82,14式竹筒銃・甲,チャージャー,4
83,14式竹筒銃・乙,チャージャー,7
84,14式竹筒銃・丙,チャージャー,12
85,バケットスロッシャー,スロッシャー,2
86,バケットスロッシャーデコ,スロッシャー,11
87,バケットスロッシャーソーダ,スロッシャー,1
88,ヒッセン,スロッシャー,3
89,ヒッセン・ヒュー,スロッシャー,1
90,スクリュースロッシャー,スロッシャー,5
91,スクリュースロッシャーネオ,スロッシャー,8
92,スクリュースロッシャーベッチュー,スロッシャー,12
93,オーバーフロッシャー,スロッシャー,9
94,オーバーフロッシャーデコ,スロッシャー,11
95,エクスプロッシャー,スロッシャー,11
96,エクスプロッシャーカスタム,スロッシャー,8
97,バレルスピナー,スピナー,11
98,バレルスピナーデコ,スピナー,9
99,バレルスピナーリミックス,スピナー,8
100,スプラスピナー,スピナー,3
101,スプラスピナーコラボ,スピナー,4
102,スプラスピナーベッチュー,スピナー,7
103,ハイドラント,スピナー,5
104,ハイドラントカスタム,スピナー,6
105,クーゲルシュライバー,スピナー,7
106,クーゲルシュライバー・ヒュー,スピナー,10
107,ノーチラス47,スピナー,8
108,ノーチラス79,スピナー,2
109,スプラマニューバー,マニューバー,3
110,スプラマニューバーコラボ,マニューバー,4
111,スプラマニューバーベッチュー,マニューバー,2
112,スパッタリー,マニューバー,10
113,スパッタリー・ヒュー,マニューバー,7
114,スパッタリークリア,マニューバー,13
115,デュアルスイーパー,マニューバー,8
116,デュアルスイーパーカスタム,マニューバー,1
117,ケルビン525,マニューバー,6
118,ケルビン525デコ,マニューバー,9
119,ケルビン525ベッチュー,マニューバー,12
120,クアッドホッパーブラック,マニューバー,5
121,クアッドホッパーホワイト,マニューバー,11
122,パラシェルター,シェルター,11
123,パラシェルターソレーラ,シェルター,5
124,キャンピングシェルター,シェルター,10
125,キャンピングシェルターソレーラ,シェルター,9
126,キャンピングシェルターカーモ,シェルター,6
127,スパイガジェット,シェルター,6
128,スパイガジェットソレーラ,シェルター,1
129,スパイガジェットベッチュー,シェルター,13
